PaperTitle,Year,Journal,FirstAuthorName_cleaned,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,SampleMusicianshipDescription,SamplingMethodDescription,SampleOtherDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Classical Rondos and Sonatas as Stylistic Categories,2020,Music Perception,"Souza, Jonathan",Canada,Canada,NA,NA,20; 20,34.65; 21.75,10.58; 4.39,19,21,musicians; non-musicians,paid,NA,NA,classical,Western,precomposed,NA,Nashra,"rondo, sonata form, classical style, acoustic cues for emotion, genre classification"
Comparing Methods for Analyzing Music-Evoked Autobiographical Memories,2020,Music Perception,"Belfi, Amy",US,US,US,NA,18,57.2,12.3,6,12,non-musicians,NA,NA,16.68,NA,Western,precomposed,"Billboard music for many years was selected, hence NA for genre",Nashra,"music, autobiographical memory, reminiscence, episodic memory, emotion"
"Learning Music From Each Other: Synchronization, Turn-taking, or Imitation?",2020,Music Perception,"Schiavio, Andrea ",Austria,Austria,NA,NA,54,23.1,4.9,40,14,non-musicians,paid,NA,NA,artificial,Western,experimenter-created,,Nashra,"synchronization, interaction, embodied cognition, music education, joint action"
The Selectivity of Musical Advantage: Musicians Exhibit Perceptual Advantage For Some But Not All Cantonese Tones,2020,Music Perception,"Choi, William",Hong Kong,UK,UK,white,19; 18,26.63; 32.67 ,5.89; 11.60 ,24,13,musicians; non-musicians,NA,NA,NA,Cantonese,Hong Kong,experimenter-created,,Nashra,"OPERA hypothesis, musical advantage, pitch perception, tone perception, music-to-language transfer"
"Timing Is Everything…Or Is It? Effects of Instructed Timing Style, Reference, and Pattern on Drum Kit Sound in Groove-Based Performance",2020,Music Perception,"Camara, Guilherme ",Norway,Norway,Norway,NA,22,36,11,0,22,musicians,paid,NA,NA,artificial,Western,experimenter-created,,Nashra,"drumming performance, microtiming, intensity, duration, groove-based music"
The Influence of Rate and Accentuation on Subjective Rhythmization,2020,Music Perception,"Poudrier, Eve ",Canada,US,US,NA,140,30.7,13.08,69,71,non-musicians,NA,NA,NA,artificial,Western,experimenter-created,,Nashra,"grouping, tempo, accent, metre, rhythm and timing"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Music Perception,"Senn, Olivier",Switzerland,NA,Germany,NA,15,NA,NA,6,9,NA,NA,NA,NA,NA,Western,precomposed,"Participants were six professors, seven postdoc/senior researchers, two PhD students, with experience in the study of groove, entrainment, or rhythm perception",Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Music Perception,"Senn, Olivier",Switzerland,NA,Germany,NA,55,41,NA,18,38,musicians; non-musicians,NA,NA,NA,NA,Western,precomposed,NA,Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Music Perception,"Senn, Olivier",Switzerland,NA,US,NA,194,NA,NA,84,113,musicians; non-musicians,paid,NA,NA,NA,Western,precomposed,NA,Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Across-Channel Auditory Gap Detection: A Psychophysical Correlate of Musical Aptitude and Instruction,2020,Music Perception,"Weaver, Aurora J.",US,US,US,NA,49,22,NA,40,9,musicians; non-musicians,NA,university students,NA,artificial,NA,experimenter-created,,Nashra,"psychoacoustics, perception, auditory perception, gap detection, music aptitude"
"Musical Expertise Facilitates Dissonance Detection On Behavioral, Not On Early Sensory Level",2020,Music Perception,"Linnavalli, Tanja",Finland,Finland,Finland,white,31,25.8,4,20,11,musicians; non-musicians,NA,NA,NA,artificial,Western,experimenter-created,,Nashra,"dissonance, consonance, MMN, musicians, attention"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,72,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,Experiment 1: Effects of Timbre and Rate Diversity on Metrical Restoration,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,120,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,"Experiment 2A&B: Amount of Exposure To, and Similarity Between, Rhythmic Patterns",Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,Experiment 3: Melodies Share Rhythmic Patterns,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,Experiment 4: Changing Cues To Meter After Learning,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,Experiment 5: Changing Rhythmic Patterns After Learning,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Music Perception,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,NA,NA,university students,NA,artificial,Western,experimenter-created,Experiment 6: Melodies Share Rhythmic Patterns But Not Contours,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
All Eyes on Me: Behaving as Soloist in Duo Performances Leads to Increased Body Movements and Attracts Observers’ Visual Attention,2020,Music Perception,"Kussner, Mats B.",Germany,NA,NA,NA,14,27.36,5.9,4,10,musicians,NA,NA,NA,classical; jazz; blues; swing; hip-hop; folk,Western,precomposed,Experiment 1,Nashra,"bodily gestures in musical duo performances, motion capture, eye tracking, auditory-motor coupling, audio-visual perception and attention"
All Eyes on Me: Behaving as Soloist in Duo Performances Leads to Increased Body Movements and Attracts Observers’ Visual Attention,2020,Music Perception,"Kussner, Mats B.",Germany,NA,NA,NA,34,31.26,6.71,18,16,musicians; non-musicians,NA,NA,NA,classical; jazz; blues; swing; hip-hop; folk,Western,precomposed,Experiment 2,Nashra,"bodily gestures in musical duo performances, motion capture, eye tracking, auditory-motor coupling, audio-visual perception and attention"
Semantic Dimensions of Sound Mass Music: Mappings between Perceptual and Acoustic Domains,2020,Music Perception,"Noble, Jason",Canada,Canada,NA,NA,38,24.9,6,24,14,musicians; non-musicians,NA,NA,NA,NA,Western,precomposed,NA,Nashra,"musical semantics, contemporary music, sound mass, spectrotemporal modulations, cross-domain mappings"
The role of positional knowledge and tonal approaches in cellists’ sight-reading,2020,Musicae Scientiae,"Wolfs, Zyxcban G.",Netherlands,Netherlands,Netherlands,NA,79,25.71,19.62,52,20,musicians,NA,NA,NA,artificial,Western,experimenter-created,NA,Nashra,"fluency error, musical skills, music instruments, music performance, pitch error, Rasch analysis, sightreading"
“The sound of affect”: Age differences in perceiving valence and arousal in music and their relation to music characteristics and momentary mood,2020,Musicae Scientiae,"Cohrdes, Caroline",Germany,Germany,Germany,NA,50,38.8,20.26,25,25,non-musicians,NA,NA,NA,classical; jazz; pop; rock; heavy metal; electronic; hip hop; RnB; folk; country,NA,precomposed,NA,Nashra,"Affect perception, age differences, music, musical feature analysis, current mood, music and emotion, sounds"
Call and response: Musical and bodily interactions in jazz improvisation duos,2020,Musicae Scientiae,"Wollner, Clemens",Germany,Germany,Germany,NA,12,39.17,17.11,0,12,musicians,NA,NA,NA,jazz,NA,other,NA,Nashra,"emotional expression, ensemble, free jazz, improvisation, motion capture"
"Contemporary art music and its audiences: Age, gender, and social class profile",2020,Musicae Scientiae,"Grebosz-Haring, Katarzyna",Austria,Europe,NA,NA,1502,46.9,17.6,812.58,689.42,NA,NA,NA,NA,NA,NA,NA,NA,Nashra,"Bourdieu, new music festivals, cultural capital, music consumption, Schulze"
Music listening as a potential aid in reducing emotional eating: An exploratory study,2020,Musicae Scientiae,"van den Tol, Annemieke J. M.",UK,UK,UK,NA,571,23.41,4.39,375,188,NA,NA,university students,NA,NA,NA,NA,NA,Nashra,"anxiety, coping, depression, emotional eating, emotion regulation, music use, stress"
Context effects of background babbling on memory for melodies,2020,Musicae Scientiae,"Herff, Steffen A.",Australia,Germany; Australia,NA,NA,25; 14,24.4,6,30,9,non-musicians,NA,university students,NA,artificial,Western,experimenter-created,NA,Nashra,"background noise, interference, memory, music perception, recognition"
The relationship between musical training and musical empathizing and systemizing traits,2020,Musicae Scientiae,"Dahary, Hadas",Canada,Canada,Canada,NA,81,21.33,3.34,52,29,musicians; non-musicians,NA,university students,NA,NA,NA,NA,NA,Nashra,"empathizing, musical sophistication, musical training, musical traits, systemizing"
Does music help children grow up? Parental views from a longitudinal panel study,2020,Musicae Scientiae,"Kreutz, Gunter ",Germany,Germany,Germany,NA,839,NA,NA,416,423,NA,NA,adults; children,NA,NA,NA,NA,NA,Nashra,"Singing, music, familial dynamics, child personality, panel study"
Audience engagement with community music performances: Emotional contagion in audiences of a ‘pro-am’ orchestra in suburban Sydney,2020,Musicae Scientiae,"Garrido, Sandra",Australia,Australia,Australia,NA,105,58.7,17.5,69,36,NA,NA,audience,NA,classical,Western,precomposed,NA,Nashra,"Live music, concert experience, emotional resonance, social bonding"
Reciprocal auditory attenuation affects looking behaviour and playing level but not ensemble synchrony: A psychoacoustical study of violin duos,2020,Musicae Scientiae,"Fulford, Robert",UK,UK,UK,NA,4,24.5,NA,2,2,musicians,NA,university students,NA,NA,Western,experimenter-created,NA,Nashra,"attenuation, auditory, ensemble synchrony, hearing, musical performance, performance behaviours, violinists"
Embodiment in Electronic Dance Music: Effects of musical content and structure on body movement,2020,Musicae Scientiae,"Burger, Birgitta",Finland,Finland,Finland,NA,60,24,3.3,43,17,NA,other,NA,NA,"techno; EDM; Latin; funk, jazz",NA,precomposed,NA,Nashra,"dance, Electronic dance music, embodiment, MoCap analysis, motion capture, movement"
"Is participation in music festivals a self-expansion opportunity? Identity, self-perception, and the importance of music’s functions",2020,Musicae Scientiae,"Lawendowski, Rafal",Poland,Poland,Poland,NA,828,28.05,8.64,494,334,NA,NA,audience,NA,NA,Western,precomposed,NA,Nashra,"audience, functions of music, identity, music festivals, self"
Spectral envelope consistency singing diatonic scales with different dynamics contours,2020,Musicae Scientiae,"Vurma, Allan",Estonia,Estonia,Estonia,NA,10,29.8,NA,0,10,musicians,NA,NA,NA,classical,Western,NA,survey,Nashra,"classical singing, dynamics, EGG, evenness of the voice, inverse filtering, pitch, singer’s formant, spectral analysis"
Non-musicians recognize unfamiliar contemporary classical music excerpts with increasing repetition,2020,Musicae Scientiae,"Wu, Verena S.",Australia,Australia,Australia,NA,23,22.3,6.1,17,6,non-musicians,NA,undergraduate students,NA,classical,Western,precomposed,NA,Nashra,"contemporary music, exposure, liking, memory, titles"
The profile of music as a creative domain in people’s conceptions: Expanding Runco & Bahleda’s 1986 study on implicit theories of creativity in a conceptual replication,2020,Musicae Scientiae,"Lothwesen, Kai Stefan",Germany,NA,NA,NA,106,29.2,11.05,65,41,musicians; non-musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"content analysis, correspondence analysis, creativity in music, creativity research, domain specificity, implicit theories, replication"
Exploring the motivations for building new digital musical instruments,2020,Musicae Scientiae,"Emerson, Gina",Germany,Germany,Germany,NA,10,NA,NA,0,10,musicians,NA,NA,NA,electronic,Western,NA,survey,Nashra,"Digital musical instruments, motivation, expressivity, embodiment"
The Study of Memorisation in Piano Students in Higher Education in Mexico,2020,Musicae Scientiae,"Herrera, Miriam",Mexico,Mexico,Mexico,NA,545,21.76,1.39,241,344,musicians,NA,undergraduate students,NA,NA,NA,NA,survey,Nashra,"Pianists, memorisation, visual, auditory, kinaesthetic, analytical, personal strategies"
A matter of presence: A qualitative study on teaching individual and collective music classes,2020,Musicae Scientiae,"Schiavio, Andrea ",UK,North America; Europe,NA,NA,11,43.3,NA,NA,NA,musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"musical learning, Extended Mind, music teacher, collective music lesson, presence"
Examining musical sophistication: A replication and theoretical commentary on the Goldsmiths Musical Sophistication Index,2020,Musicae Scientiae,"Baker, David John",US,US,US,NA,346,20.17,2.72,217,129,musicians,paid,university students,NA,artificial,Western,experimenter-created,NA,Nashra,"Psychometrics, musical sophistication, replication, modeling musicality, confirmatory factor analysis, latent variable modeling"
Video feedback and the choice of strategies of college-level guitarists during individual practice,2020,Musicae Scientiae,"Boucher, Mathieu",Canada,Canada,Canada,NA,16,19,1.3,3,13,musicians,NA,NA,NA,NA,Western,precomposed,NA,Nashra,"Music performance, music practice, video feedback, practice strategies, self-regulation"
"Study addiction among musicians: Measurement, and relationship with personality, social anxiety, performance, and psychosocial functioning",2020,Musicae Scientiae,"Lawendowski, Rafal",Poland,Poland,Poland,NA,132,22.36,2.98,82,48,musicians,NA,university students,NA,NA,NA,NA,survey,Nashra,"Academic performance, learning engagement, personality, social anxiety, study addiction, workaholism, work addiction"
Seeing a drummer’s performance modulates the subjective experience of groove while listening to popular music drum patterns,2020,Musicae Scientiae,"Eaves, Daniel Lloyd",UK,UK,UK,NA,36,26.22,8.97,25,11,musicians; non-musicians,NA,university students,NA,soul; folk; rock,Western,semi-precomposed,NA,Nashra,"Multisensory integration, visuo-motor priming, motor resonance, mirror neurons, music perception, audio-visual processing"
Expressing melodic grouping discontinuities: Evidence from violinists’ rubato and motion,2020,Musicae Scientiae,"Huberth, Madeline",US,US,US,NA,6,NA,NA,NA,NA,musicians,paid,NA,NA,classical,Western,semi-precomposed,NA,Nashra,"Movement, performance, interpretation, embodied cognition, melodic grouping"
The influence of film music on moral judgments of movie scenes and felt emotions,2020,Psychology of Music,"Steffens, Jochen",Germany,NA,NA,NA,252,34.2,11,113,139,NA,NA,NA,NA,NA,Western,experimenter-created,NA,Nashra,"effects of music, emotion, film music, moral foundations, moral judgments, soundtrack"
Improvisation experience predicts how musicians categorize musical structures,2020,Psychology of Music,"Goldman, Andrew",US,US,US,NA,40,25.28,5.52,16,24,musicians,paid,NA,NA,artificial,Western,experimenter-created,NA,Nashra,"Improvisation, concepts and categories, creativity, EEG, auditory perception/cognition"
Music as a trigger of religious experience: What role does culture play?,2020,Psychology of Music,"Demmrich, Sarah",Germany,NA,Germany; Turkey,NA,63; 84,22.89; 20.98,6.29; 2.08,47; 63,16; 21,NA,NA,NA,NA,NA,NA,NA,survey,Nashra,"Religious experience, emotions, culture, Islam, Turkey"
A longitudinal study of the development of expressive timing,2020,Psychology of Music,"Demos, Alexander P.",US,NA,Brazil,NA,1,NA,NA,1,NA,musicians,NA,NA,NA,classical,Western,precomposed,NA,Nashra,"Music performance, musical expression, musical interpretation, performance memory, music practice"
Conceptual rather than perceptual: Cross-modal binding of pitch sequencing is based on an underlying schematic structure,2020,Psychology of Music,"Antovic, Mihailo",Serbia,Serbia,Serbia,white,40; 40,8.8; 20.15,0.4; 0.85,58,22,non-musicians,NA,adults; children,NA,artificial,Western,experimenter-created,NA,Nashra,"concepts, cross-modal correspondence, movement, pitch, schemas"
"Music engagement and well-being in Chinese adolescents: Emotional awareness, positive emotions, and negative emotions as mediating processes",2020,Psychology of Music,"Leung, Man Chong",Hong Kong,Hong Kong,Hong Kong,Asian,1318,13.51,1.28,627,691,NA,NA,children,NA,NA,NA,NA,survey,Nashra,"Music engagement, emotional awareness, positive emotions, negative emotions, well-being, adolescence"
Evaluating the impact of a generalist teacher-led music program on early childhood school children’s singing skills and attitudes to music,2020,Psychology of Music,"Barrett, Margaret S.",Australia,Australia,Australia,NA,292,NA,NA,NA,NA,non-musicians,NA,children,NA,childrens,Western,precomposed,NA,Nashra,"early childhood, generalist music education, music development, singing, teacher development"
The terror management effects of a disaster song,2020,Psychology of Music,"Higgins, Laura",Canada,Canada,Canada,NA,149,NA,NA,117,32,NA,NA,university students,NA,folk,Western,precomposed,survey,Nashra,"death, emotion, functions of music, pain, popular music, pro-social behaviour, social psychology"
"Musical training improves memory for instrumental music, but not vocal music or words",2020,Psychology of Music,"Wilbiks, Jonathan M. P.",Canada,Canada,Canada,NA,20; 20,22.7; 22.2,8.5; 8.7,31,9,musicians; non-musicians,NA,university students,NA,pop; classical,Western,precomposed,survey,Nashra,"Memory, transfer effects, training, short term memory, cognition"
Exploring lived experiences of spirituality amongst five Dalcroze teachers,2020,Psychology of Music,"van der Merwe, Liesl",UK,NA,NA,NA,5,NA,NA,NA,NA,musicians,NA,NA,NA,spiritual,NA,NA,NA,Nashra,"Dalcroze Eurhythmics, Dalcroze teachers, I poems, interpretative phenomenological analysis (IPA), lived experience, spirituality"
"The subjective, human experience of groove: A phenomenological investigation",2020,Psychology of Music,"Hosken, Fred",US,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,funk,Western,semi-precomposed,NA,Nashra,"groove, listening, perception, phenomenology, qualitative"
What helps jazz musicians name tunes from harmony? The relationship between work with harmony and the ability to identify well-known jazz standards from chord progressions,2020,Psychology of Music,"Jimenez, Ivan",Finland,Finland,US,NA,71,32.9,13.03,16,55,musicians,NA,NA,NA,jazz,Western,semi-precomposed,NA,Nashra,"chord progressions, episodic memory, jazz, memory for harmony, musical training"
How listening to music and engagement with other media provide a sense of belonging: An exploratory study of social surrogacy,2020,Psychology of Music,"Schafer, Katharina",Finland,Europe,Europe,NA,374,28.2,7.93,220,159,non-musicians,other,NA,NA,NA,NA,NA,survey,Nashra,"belonging, literary fiction, music listening, parasocial relationships, social surrogacy"
Cognitive sex differences in effects of music in Wisconsin Card Sorting Test,2020,Psychology of Music,"Feizpour, Azadeh",Australia,Australia,Australia,NA,70,NA,NA,40,30,NA,NA,undergraduate students,NA,pop,Western,precomposed,NA,Nashra,"background music, cognition, functions of music, problem solving, Reaction time, Wisconsin Card Sorting Test (WCST)"
Passion at the heart of musicians’ well-being,2020,Psychology of Music,"Bonneville-Roussy, Arielle ",UK,UK,UK,NA,225,24.79,8.93,110,115,musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"musical anxiety, musicians, passion, scale validation, well-being"
Revisiting singing proficiency in three-year-olds,2020,Psychology of Music,"Gudmundsdottir, Helga",Iceland,Iceland,Iceland,NA,39,3,NA,17,22,NA,NA,children,NA,artificial,Western,experimenter-created,,Nashra,"Early childhood, preschooler singing, singing, singing development, singing proficiency, toddler singing"
"A survey into the experience of musically induced chills: Emotions, situations and music",2020,Psychology of Music,"Bannister, Scott",UK,NA,NA,NA,375,36.14,NA,186,183,NA,paid,NA,NA,NA,NA,NA,survey,Nashra,"chills, emotion, listening, meaning, peak experiences, qualitative"
What makes music relaxing? An investigation into musical elements,2020,Psychology of Music,"Hernandez-Ruiz, Eugenia",US,US,US,NA,40,19.13,1.79,40,0,NA,NA,university students,NA,NA,NA,semi-precomposed,NA,Nashra,"music-assisted, music therapy, musical elements, relaxation, responders"
"What do listeners understand by “continuity” and “closure”? Tracking down the links between tonal expectancy, music training, and conceptualization",2020,Psychology of Music,"Kristop, Carlos A.",Argentina,Argentina,Argentina,NA,24,27.5,NA,3,9,musicians; non-musicians,NA,undergraduate students,NA,NA,Western,experimenter-created,,Nashra,"concepts and categories, Expectancy, melody, tonality, training"
Expecting the end: Continuous expectancy ratings for tonal cadences,2020,Psychology of Music,"Sears, David R. W.",US,Canada,Canada,NA,40,24,6,20,20,musicians; non-musicians,NA,NA,NA,classical,Western,semi-precomposed,NA,Nashra,"tonal expectations, cognitive, tonal cadence, harmony, priming"
"Goldsmiths Musical Sophistication Index (Gold-MSI): Portuguese version and associations with socio-demographic factors, personality and music preferences",2020,Psychology of Music,"Lima, Cesar F.",UK,Portugal,Portugal,NA,408,33,14.4,306,102,NA,NA,NA,12,NA,NA,NA,survey,Nashra,"Gold-MSI, musical sophistication, musicality, Portuguese, psychometric properties"
Group music lessons for children aged 1–3 improve accompanying parents’ moods,2020,Psychology of Music,"Kawase, Satoshi",Japan,Japan,Japan,NA,82; 85,1.5; 36,NA,133,29,NA,NA,adults; children,NA,NA,NA,NA,survey,Nashra,"anxiety, group music lesson, joint action, mood, parenting stress, peripheral participation"
Achievement goal motivation and cognitive strategies as predictors of musical creativity among secondary school music students,2020,Psychology of Music,"Mawang, Lucy L.",Kenya,Kenya,Kenya,NA,201,17.24,0.78,139,62,NA,NA,children,12,NA,NA,NA,survey,Nashra,"achievement goal motivation, cognitive learning strategies, composition, deep processing strategy, musical creativity, surface processing strategy"
Superior fluid cognition in trained musicians,2020,Psychology of Music,"Meyer, Jim",US,US,US,NA,72,19.85,NA,NA,NA,musicians; non-musicians,paid,university students,NA,NA,NA,NA,survey,Nashra,"cognitive ability, executive function, expertise, fluid cognition, musical training"
"Aural identification of harmonic intervals: An observational study at the Girona Music Conservatory (Catalonia, Spain)",2020,Psychology of Music,"Ponsati, Imma",Spain,Spain,Spain,NA,25,12,NA,NA,NA,NA,NA,NA,NA,artificial,Western,experimenter-created,NA,Nashra,"aural skills, harmonic intervals, harmonic perception, music theory, observational methodology"
Music improvisation modulates emotional memory,2020,Psychology of Music,"Diaz Abrahan, Veronika",Argentina,Argentina,Argentina,NA,137,24.5,5.12,81,56,musicians; non-musicians,volunteer,university students,NA,artificial,Western,experimenter-created,NA,Nashra,"emotions, memory, music improvisation, music therapy, musical training"
Musical performance and emotions in children: The case of musical competitions,2020,Psychology of Music,"Rucsanda, Madalina Dana",Romania,NA,Romania,NA,146,11.6,2.91,124,22,NA,NA,children,NA,NA,NA,NA,survey,Nashra,"emotions, emotional arousal, music competitions, music performance, young musicians"
Expressing emotion through vocal performance: Acoustic cues and the effects of a mindfulness induction,2020,Psychology of Music,"Tan, Daphne",US,US,US,NA,20,25.5,NA,13,7,musicians,paid,university students,NA,NA,Western,experimenter-created,NA,Nashra,"acoustic cues, emotion, expression, mindfulness, vocal performance"
Effects of music listening on creative cognition and semantic memory retrieval,2020,Psychology of Music,"Eskine, Katherine E.",US,US,US,black,35,20,1.32,5,30,NA,NA,undergraduate students,NA,hip-hop; classical,Western,semi-precomposed,NA,Nashra,"arousal, creativity, listening, memory, mood regulation"
Help Musicians UK hearing survey: Musicians’ hearing and hearing protection,2020,Psychology of Music,"Greasley, Alinka E.",UK,UK,UK,NA,693,NA,NA,198,237,musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"hearing loss, hearing protection, hearing test, musicians’ hearing, noise-induced hearing loss (NIHL), tinnitus"
Individual differences in the reminiscence bump of very long-term memory for popular songs in old age: A non-linear mixed model approach,2020,Psychology of Music,"Zimprich, Daniel",Germany,Germany,Germany,NA,90,72.5,1.52,50,40,NA,NA,NA,9,rock; pop,Western,precomposed,survey,Nashra,"non-linear mixed model, popular songs, recognition, reminiscence bump, very long-term memory"
Music-related activities on Facebook,2020,Psychology of Music,"Krause, Amanda E.",Australia,online,US,NA,400,22.56,7.79,291,109,NA,NA,NA,NA,NA,NA,NA,survey,Nashra,"applications, Digital music, Facebook, listening, social network sites (SNS)"
"If it’s Mozart, it must be good? The influence of textual information and age on musical appreciation",2020,Psychology of Music,"Fischinger, Timo",Germany,Germany,Germany,NA,170,45.8,17.3,95,75,NA,paid,NA,NA,classical,Western,precomposed,NA,Nashra,"experimental aesthetics, listening, music appreciation, older adults, prestige effect, program notes, social psychology"
Social life among toddlers in kindergarten as communicative musicality,2020,Psychology of Music,"Nome, Dag",Norway,Norway,Norway,NA,15,2,NA,NA,NA,NA,NA,children,NA,NA,NA,NA,NA,Nashra,"communicative musicality, kindergarten, micro-ethnography, sound, toddlers"
Parenting style as a predictor of music preference,2020,Psychology of Music,"Warrener, Emily",Australia,Australia,Australia,NA,336,32.18,12.33,235,101,NA,NA,NA,NA,NA,NA,NA,survey,Nashra,"genre preference, musical taste, parenting style, personality, sensation seeking"
"“Music is my drug”: Alexithymia, empathy, and emotional responding to music",2020,Psychology of Music,"Lyvers, Michael",Australia,online,NA,white,205,NA,NA,136,39,NA,NA,NA,12,NA,NA,NA,survey,Nashra,"alcohol, emotion, individual differences, personality, self-regulation"
Who is playing that wonderful music? Exploring predictors of playing a musical instrument,2020,Psychology of Music,"Treger, Stanislav",US,US,US,NA,369,35.36,11.1,184,185,musicians; non-musicians,paid,NA,NA,NA,NA,NA,Experiment 1,Nashra,"emotion, individual differences, learning, personality, self"
Who is playing that wonderful music? Exploring predictors of playing a musical instrument,2020,Psychology of Music,"Treger, Stanislav",US,US,US,NA,295,40.03,13,191,104,musicians; non-musicians,paid,NA,NA,NA,NA,NA,Experiment 2,Nashra,"emotion, individual differences, learning, personality, self"
Gender differences in musical motivation at different levels of expertise,2020,Psychology of Music,"Hallam, Susan",UK,UK,UK,NA,3327,NA,NA,2027,1225,musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"Expertise, gender, instruments, motivation, music"
Musicians’ use of harmonic cognitive strategies when playing by ear,2020,Psychology of Music,"Woody, Robert H.",US,US,US,NA,28,20.6,NA,12,16,musicians,NA,NA,NA,classical,Western,experimenter-created,NA,Nashra,"Aural skills, cognition, learning, listening, memory, mixed methods, performance"
Effect of processing fluency on metamemory for written music in piano players,2020,Psychology of Music,"Schwartz, Bennett L.",US,US,US,NA,48,NA,NA,37,11,musicians; non-musicians,course credit,university students,NA,classical,Western,semi-precomposed,NA,Nashra,"Cognition, consciousness, memory, music cognition, metacognition reading"
The role of retrospectively perceived parenting style and adult attachment behaviour in music performance anxiety,2020,Psychology of Music,"Wiedemann, Anna",UK,UK,UK,NA,82,23.5,3.4,57,25,musicians,NA,university students,NA,NA,NA,NA,survey,Nashra,"Music performance anxiety, parenting style, adult attachment behaviour, generalised anxiety, musicians"
Templates and temporality: An investigation of rhythmic motor production in a young man with Down Syndrome and hearing impairment,2020,Psychology of Music,"Jeffery, Tracy",UK,UK,UK,NA,1,23,NA,NA,1,NA,NA,NA,NA,pop; artificial,NA,experimenter-created; precomposed,NA,Nashra,"auditory memory, Down Syndrome, hearing impairment, rhythm"
Are there differences in practice depending on the instrument played?,2020,Psychology of Music,"Hallam, Susan",UK,UK,UK,NA,3327,NA,NA,2027,1225,musicians,NA,NA,NA,NA,NA,NA,survey,Nashra,"attitudes, instruments, music, practice, strategies"
Perfectionistic self-presentation and emotional experiences in music students: A three-wave longitudinal study,2020,Psychology of Music,"Hill, Andrew P.",UK,UK,UK,NA,143,18.92,2.96,68,75,musicians,NA,university students,NA,NA,NA,NA,survey,Nashra,"personality, well-being, motivation, emotion, performance, performing art"
On the relevance of music genre-based analysis in research on musical tastes,2020,Psychology of Music,"Brisson, Romain",Switzerland,Switzerland,Switzerland,NA,522; 185,22.72; 17.20,4.05; 1.01,454,253,NA,NA,children; university students,NA,rock,NA,precomposed,survey,Nashra,"cultural capital, musical tastes, music genres, music dimensions, principal component analysis"
In their own words: Analyzing the extents and origins of absolute pitch,2020,Psychology of Music,"Marvin, Elizabeth West",US,US,US,NA,32,21.7,4.09,17,13,musicians,NA,university students,NA,NA,NA,NA,survey,Nashra,"absolute pitch, auditory perception/cognition, aural skills, informal learning, qualitative, timbre"
Music education in junior high school: Perception of emotions conveyed by music and mental imagery in students who attend the standard or musical curriculum,2020,Psychology of Music,"Commodari, Elena",Italy,Italy,Italy,NA,130,12.62,0.48,66,64,NA,NA,children,NA,NA,NA,experimenter-created,NA,Nashra,"music training, mixed emotions, visual imagery"
