PaperTitle,Year,Journal,FirstAuthorName,FirstAuthorCountry,CountryDataCollected,SamplePrimaryCountryofOrigin,Ethnicity,SampleSize,SampleAgeMean,SampleAgeSD,FemaleParticipantsNumber,MaleParticipantsNumber,,SampleOtherDescription,SampleMusicianshipDescription,SamplingMethodDescription,MeanYearsEducation,MusicPrimaryGenre,MusicOriginCountry,MusicSource,Comments,CoderName,Keywords
Sound production shows robust loudness constancy when visual cues of musical performance are available,2019,Musicae Scientiae,"Honda, Akio",Japan,Japan,NA,NA,14,NA,NA,12,2,,Undergraduates,NA,NA,NA,artificial,NA,experimenter created,,Aliya,action observation; audiovisual perception; melodica; method of adjustment; musical learning
The effects of background music on tipping behaviour in a restaurant: a field study,2019,Musicae Scientiae,"Beer, Annika",Austria,Germany,NA,NA,277,NA,NA,91,186,,NA,NA,NA,NA,NA,western,experimenter created,,Aliya,background music; music; prosocial behavior; social influence; tipping
"Precompetitive appraisal, performance anxiety, and confidence in conservatorium musicians: a case for coping",2019,Musicae Scientiae,"Osborne, Gary E.",Australia,NA,NA,NA,36,20.39,4.05,26,10,,Undergraduates,musicians,NA,NA,NA,NA,NA,,Aliya,cognitive appraisal; competitive anxiety; music performance anxiety; performance examination; stress
Exploring personality and musical self-perceptions among vocalists and instrumentalists at music colleges,2019,Musicae Scientiae,"Sandgren, Maria",Sweeden,Sweeden,Sweeden,NA,108,women: 25.9; men: 25.1,women: 5.1; men: 3.5,52,56,,Undergraduates; Masters,musicians,NA,NA,NA,NA,NA,,Aliya,instrumentalists; musical self-perceptions; music students; personality; vocalists
Perception of music-induced emotions in patients with somatoform disorders compared to healthy controls,2019,Musicae Scientiae,"Firle, Carl",Germany,Germany,NA,NA,50,NA,NA,NA,NA,,NA,NA,NA,NA,Classical; electronic,Western,precomposed,unsure which stats to report for participant info,Aliya,anxiety; depression; emotion perception; music; psychosomatic medicine; somatoform disorders
The time will come: evidence for an eye-audition apn in silent music reading,2019,Musicae Scientiae,"Silva, Susana",Portugal,Portugal,NA,NA,29,musician: 32; nonmusician 27,"musician 11, nonmusician 10",NA,NA,,NA,musicians; nonmusicians,volunteer,NA,classical,western,experimenter created,,Aliya,silent music reading; eye-tracking; audiation; rhythm; musical expertise
Music performance skills: A two-pronged approach – facilitating optimal music performance and reducing music performance anxiety,2019,Musicae Scientiae,"Cohen, Susanna",Israel,Israel,israel,NA,24,30.54,5.73,19,5,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,flow; music performance; music performance anxiety; optimal music performance; peak performance; performance skills
"The effect of music on arousal, enjoyment, and cognitive performance",2019,Musicae Scientiae,"Lim, Hayoung A.",USA,USA,NA,NA,117,NA,NA,78,39,,NA,non-musicians,volunteer,NA,classical,western,experimenter created,,Aliya,Music; arousal; enjoyment; recall
Signature pedagogies for musical practice: A case study of creativity development in an orchestral composers’ workshop,2019,Musicae Scientiae,"Love, Karlin G.",Australia,Australia,NA,NA,16,NA,NA,NA,NA,,NA,musicians,volunteer,NA,Classical,NA,NA,,Aliya,"Emerging composer; signature pedagogy; creative practice
orchestra; apprenticeship; eminent teacher; artistic practice"
“If you wanna make the world a better place”: Factors influencing the effect of songs with prosocial lyrics,2019,Musicae Scientiae,"Rith, Nicolas",Germany,Online,NA,NA,220,25.8,8.89,158,62,,NA,musicains; non-musicians,volunteer; paid,NA,pop; rap,western,precomposed,,Aliya,Attention; familiarity; prosocial behavior; empathy; popular music; lyrics
A corpus analysis of timbre semantic in orchestration treatises,2019,Musicae Scientiae,"Wallmark, Zachary",USA,online,NA,NA,11 treatises/manuals,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,corpus study,Aliya,Timbre; semantics; corpus; methods; orchestration; text analysis; musicology
Using psycholinguistic inquiry to measure emotional response to music: A feasibility study,2019,Musicae Scientiae,"Yinger, Olivia Swedberg",USA,USA,NA,NA,56,20.8,1.85,53,3,,undergraduates,NA,volunteer,NA,classical,western,precomposed,,Aliya,discourse analysis; emotion; language; negative emotions; technology; valence
Music induced emotion effects on decision-making,2019,Musicae Scientiae,"Palazzi, Ambra",Brazil,online,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,systematic review,Aliya,decision-making; emotion; mood; music; systematic review
Relaxed and connected: insights into the emotional-motivational constituents of musical pleasure,2019,Musicae Scientiae,"Saarikallio, Suvi H.",Finland,Finalnd,NA,NA,464,39.9,13.8,366,98,,NA,NA,volunteer,NA,pop; classical; rock; indie,western,precomposed,,Aliya,emotions; engagement; music; pleasure; visuality
"Does moving to the music make you smarter? The relation of sensorimotor entrainment to cognitive, linguistic, musical, and social skills",2019,Musicae Scientiae,"Maroti, Emese",Hungary,Hungary,NA,NA,40,NA,NA,NA,NA,,NA,NA,NA,NA,folk,hungary,precomposed,has age info including 1/3 of the data that was later unusable - what info should be inputted here?,Aliya,entrainment; education; movement; transfer effects; language; sensorimotor skills
"Emotional intelligence, alexithymia, stress, and people's reasons for listening to music",2019,Musicae Scientiae,"Londsdale, Adam J.",UK,online,NA,NA,181,35.43,19.64,118,63,,NA,NA,volunteer,NA,NA,NA,NA,,Aliya,alexithymia; emotional; intelligence; music; uses of music; stress
Motivational factors in adult auditioned community choirs: the power of aesthetic experiences,2019,Musicae Scientiae,"Redman, David J. ",USA,USA,NA,NA,135,NA,NA,88,47,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,Choir; motivation; participation; retention; Cusp Catastrophe Theory
Negotiating individuality and colelctivity in community music. A qualitative case study,2019,Musicae Scientiae,"Schiavio, Andrea",UK,UK,NA,NA,3,NA,NA,2,1,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,Community music; embodiment; collaboration; pedagogy; improvisation
Can a rhythmic intervention support reading development in poor readers,2019,Musicae Scientiae,"Hallam, Susan",UK,UK,NA,NA,421,11-Dec,NA,133,288,,Children,NA,volunteer,8,NA,NA,NA,,Aliya,education; intervention; music; reading; rhythm
Unfinished sympathies: influence of individual temporal orientation on music preferences,2019,Musicae Scientiae,"Nowack, Kati",Germany,Germany,German,NA,258,25.1,3.68,190,68,,NA,NA,volunteer,NA,NA,NA,NA,,Aliya,Musical taste; genre; time perspective; chronotype; morningness/eveningness; time duration; time succession
Can muic reduce national prejudice? A test of a cross cultural music education programme,2019,Musicae Scientiae,"Neto, Felix",Portugal,portugese,Portugal,portugese,229,11.87,0.8,98,131,,children,NA,volunteer,6,NA,NA,NA,,Aliya,attitude change; Brazil; Cape Verde; musical program; Portugal; prejudice reduction
cognitive factors explain inter-cultural variations of abilities in rhythm perception: the case of the Roma minority,2019,Musicae Scientiae,"Dolean, Dacian Dorin",USA,Romania,Romania,NA,487,89.08 months,4.78,237,250,,Children,NA,volunteer,NA,NA,NA,NA,,Aliya,Rhythm perception; cultural factors; cognitive factors; Roma minority; cross-cultural
How modes of instrumental practice are distributed in three musical genres and among vocalists and instrumentalists at music colleges,2019,Musicae Scientiae,"Sandgren, Maria",Sweeden,Sweeden,NA,NA,108,women: 25.9; men: 25.1,women: 5.1; men: 3.5,52,56,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,emotions; instrumentalists; music students; practice; vocalists
"Choosing to study music in high school: Teacher support, psychological needs satisfaction, and elective music intentions",2019,Musicae Scientiae,"Freer, Elisabeth",Australia,Australia,NA,NA,395,year 7 62%; year 8 37.5%,NA,241,150,,Children,NA,volunteer,NA,NA,NA,NA,,Aliya,self-determination theory; positive psychology; value; music education; psychological needs
Implementation of a rhythm and movement intervention to support self-regulation skills of preschool-aged children in disadvantaged communities,2019,Musicae Scientiae,"Williams, Kate E.",Australia,Australia,NA,NA,113,55.9 months,4.5 months,61,52,,Children,NA,volunteer,NA,NA,NA,NA,,Aliya,Self-regulation; rhythm; intervention; early childhood
Maladaptive personality and psychopathy dimensions as predictors of music and movie preferences in US adults,2019,Musicae Scientiae,"Blagov, Pavel S.",USA,US,NA,White (70%),379,38,11,151,223,,NA,NA,paid,15,NA,NA,NA,,Aliya,clinical issues; everyday life; genre; individual differences; personality
Predicting musical taste: relationships with personality aspects and political orientation,2019,Musicae Scientiae,"Devenport, Scott P.",Australia,Australia,NA,NA,157,24.6,7.63,92,65,,NA,NA,volunteer,NA,NA,NA,NA,,Aliya,music; personality; Big Five; liberalism; aspects
The role of affect in practicing a musical instrument: A systematic review of the literature,2019,Musicae Scientiae,"Mazur, Zofia",Poland,Online,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,,Aliya,Affect; emotions; instrumental practice; engagement in practice; systematic review
"Tuning in on motivation: Differences between non-musicians, amateurs, and professional musicians",2019,Musicae Scientiae,"Applegren, Alva",Sweeden,Online,sweeden,NA,5435,41.02,7.81,3130,2305,,NA,NA,volunteer,NA,NA,NA,NA,,Aliya,Motivation; music; personality; sex differences; self-compassion
The experience and perceived impact of group singing for men living with cancer: A phenomenological study,2019,Musicae Scientiae,"Warran, Katey",UK,UK,NA,white (80%); Asian (20%),5,64,NA,0,5,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,gender; arts and health; cancer; IPA; mental health; phenomenology; qualitative
"Absolute Pitch: Myths, evidence, and relevance to music education and performance",2019,Musicae Scientiae,"Carden, Jill",UK,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,literature reiview,Aliya,Absolute pitch; music; education
Ageing and the orchestra: Self-efficacy and engagement in community music-making,2019,Musicae Scientiae,"MacRitchie, Jennifer",Australia,Australia,NA,NA,23,50.9,15.78,16,7,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,Ageing; orchestras; self-efficacy; engagement; amateur musicians; performance
Ageing and the orchestra: Self-efficacy and engagement in community music-making,2019,Musicae Scientiae,"MacRitchie, Jennifer",Australia,Australia,NA,NA,3,56.7,4.6,2,1,,NA,musicians,volunteer,NA,NA,NA,NA,,Aliya,Ageing; orchestras; self-efficacy; engagement; amateur musicians; performance
Finger Synchronization Aids Rhythm Perception Similarly in Both Pianists and Non-pianists,2020,Musicae Scientiae,"Manning, Fiona",Canada,Canada,Canada,NA,60,18.4; 18.67,1.25; 1.47,20; 19,10; 11,,university students,musicians; non-musicians,paid; course credit,NA,artificial,western,experimenter-created,NA,Nashra,"sensorimotor interactions, motor effector, motor synchronization, temporal prediction, music training"
The Development of Sensitivity to Tonality Structure of Music: Evidence From Japanese Children Raised in a Simultaneous and Unbalanced Bi-musical Environment,2020,Musicae Scientiae,"Matsunaga, Rie ",Japan,Japan,Japan,Asian,150,NA,NA,47,103,,children and adults,non-musicians,NA,NA,japanese; western,Japan,experimenter-created,"Experiment1; children of different age groups (7, 9, 11, 13, and 14) and adults were considered",Nashra,"tonality, pitch, child development, enculturation, bi-musicals"
The Development of Sensitivity to Tonality Structure of Music: Evidence From Japanese Children Raised in a Simultaneous and Unbalanced Bi-musical Environment,2020,Musicae Scientiae,"Matsunaga, Rie ",Japan,Japan,Japan,Asian,145,NA,NA,39,106,,children and adults,non-musicians,NA,NA,japanese; western,Japan,experimenter-created,Experiment2,Nashra,"tonality, pitch, child development, enculturation, bi-musicals"
Sensorimotor Synchronization with Higher Metrical Levels in Music Shortens Perceived Time,2020,Musicae Scientiae,"Hammerschmidt, David ",Germany,Germany,NA,NA,30,26.53; 28.73,"8.76, 11.16",5; 12,10; 3,,NA,musicians; non-musicians,paid,NA,western,western,experimenter-created,,Nashra,"time estimation, entrainment, tapping, attention, musical tempo"
A Critical Cross-cultural Study of Sensorimotor and Groove Responses to Syncopation Among Ghanaian and American University Students and Staff,2020,Musicae Scientiae,"Witek, Maria",UK,Ghana; US,Ghana; US,black; white,28,NA,NA,7; 6,5; 7,,NA; undergraduate students,non-musicians,NA,NA,groove,NA,experimenter-created,,Nashra,"groove, syncopation, synchronization, rhythm, cross-cultural research"
"Perceived Tension, Movement, and Pleasantness in Harmonic Musical Intervals and Noises",2020,Musicae Scientiae,"Costa, Marco ",Italy,Italy,NA,NA,18,24.78,6.82,8,10,,university students,NA,volunteers,NA,artificial,NA,experimenter-created,Experiment1,Nashra,"musical intervals, tension, cross-modal rating, pitch register, consonance"
"Perceived Tension, Movement, and Pleasantness in Harmonic Musical Intervals and Noises",2020,Musicae Scientiae,"Costa, Marco ",Italy,Italy,NA,NA,25,25,NA,17,8,,university students,non-musicians,volunteers,NA,artificial,western,experimenter-created,Experiment2,Nashra,"musical intervals, tension, cross-modal rating, pitch register, consonance"
"Perceived Tension, Movement, and Pleasantness in Harmonic Musical Intervals and Noises",2020,Musicae Scientiae,"Costa, Marco ",Italy,Italy,NA,NA,20,28,NA,5,15,,university students,non-musicians,volunteers,NA,artificial,western,experimenter-created,Experiment3,Nashra,"musical intervals, tension, cross-modal rating, pitch register, consonance"
Musicianship Enhances Perception But Not Feeling of Emotion From Others’ Social Interaction Through Speech Prosody,2020,Musicae Scientiae,Farmer Eliot,UK,UK,NA,NA,40,22.25; 21.7,2.10; 2.56,13; 14,7; 6,,NA,musicians; non-musicians,NA,NA,artificial,NA,experimenter-created,,Nashra,"music expertise, emotion perception, emotional feeling, social interaction, multisensory facilitation"
Social Music: Investigating the Link Between Personal Liking and Perceived Groove,2020,Musicae Scientiae,"Kowalewski, Douglas",US,US,NA,NA,201,19.14,2.82,114,87,,university students,non-musicians,course credit,NA,groove,NA,semi-composed,Experiment1,Nashra,"syncopation, groove, affiliation, liking, movement"
Social Music: Investigating the Link Between Personal Liking and Perceived Groove,2020,Musicae Scientiae,"Kowalewski, Douglas",US,US,NA,NA,181,18.76,1.22,134,47,,university students,non-musicians,course credit,NA,groove,NA,semi-composed,Experiment2,Nashra,"syncopation, groove, affiliation, liking, movement"
Classical Rondos and Sonatas as Stylistic Categories,2020,Musicae Scientiae,"Souza, Jonathan",Canada,Canada,NA,NA,40,34.65; 21.75,2.85; 4.39,8; 11,12; 9,,NA,musicians; non-musicians,paid,NA,western classical,western,pre-composed,NA,Nashra,"rondo, sonata form, classical style, acoustic cues for emotion, genre classification"
Comparing Methods for Analyzing Music-Evoked Autobiographical Memories,2020,Musicae Scientiae,"Belfi, Amy",US,US,US,NA,18,57.2,12.3,6,12,,NA,non-musicians,NA,16.68,NA,western,pre-composed,"Billboard music for many years was selected, hence NA for genre",Nashra,"music, autobiographical memory, reminiscence, episodic memory, emotion"
"Learning Music From Each Other: Synchronization, Turn-taking, or Imitation?",2020,Musicae Scientiae,"Schiavio, Andrea",Austria,Austria,NA,NA,54,23.1,4.9,40,14,,NA,non-musicians,paid,NA,artificial,western,experimenter-created,,Nashra,"synchronization, interaction, embodied cognition, music education, joint action"
The Selectivity of Musical Advantage: Musicians Exhibit Perceptual Advantage For Some But Not All Cantonese Tones,2020,Musicae Scientiae,"Choi, William",Hong Kong,UK,UK,White,40,26.63; 32.67 ,5.89; 11.60 ,14; 10,5; 8,,NA,musicians; non-musicians,NA,NA,Cantonese,Hong Kong,experimenter-created,,Nashra,"OPERA hypothesis, musical advantage, pitch perception, tone perception, music-to-language transfer"
"Timing Is Everything…Or Is It? Effects of Instructed Timing Style, Reference, and Pattern on Drum Kit Sound in Groove-Based Performance",2020,Musicae Scientiae,"Camara, Guilherme ",Norway,Norway,Norway,NA,22,36,11,0,22,,NA,musicians,paid,NA,artificial,western,experimenter-created,,Nashra,"drumming performance, microtiming, intensity, duration, groove-based music"
The Influence of Rate and Accentuation on Subjective Rhythmization,2020,Musicae Scientiae,"Poudrier, Eve ",Canada,US,US,NA,140,30.7,13.08,69,71,,NA,non-musicians,NA,NA,artificial,western,experimenter-created,,Nashra,"grouping, tempo, accent, metre, rhythm and timing"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Musicae Scientiae,"Senn, Olivier",Switzerland,NA,"Germany; UK; Japan, Austria; Finland; Norway; Portugal; Sweden; US",NA,4; 3; 2; 1; 1; 1; 1; 1; 1,NA,NA,6,9,,academicians,NA,NA,NA,western,NA,pre-composed,"Participants were six professors, seven postdoc/senior researchers, two PhD students, with experience in the study of groove, entrainment, or rhythm perception",Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Musicae Scientiae,"Senn, Olivier",Switzerland,NA,Germany; Switzerland; Japan; Canada; Austria; Netherlands; US ,NA,23; 21; 7;2; 1; 1,41,NA,18,38,,NA,musicians; non-musicians,NA,NA,western,NA,pre-composed,NA,Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Experience of Groove Questionnaire: Instrument Development and Initial Validation,2020,Musicae Scientiae,"Senn, Olivier",Switzerland,NA,US; India; Italy,NA,158; 35; 1,NA,NA,84,113,,NA,musicians; non-musicians,paid,NA,western,NA,pre-composed,NA,Nashra,"groove, body movement, pleasure, psychometry, questionnaire"
Across-Channel Auditory Gap Detection: A Psychophysical Correlate of Musical Aptitude and Instruction,2020,Musicae Scientiae,"Weaver, Aurora J.",US,US,US,NA,49,22,NA,40,9,,university students,musicians; non-musicians,NA,NA,artificial,NA,experimenter-created,,Nashra,"psychoacoustics, perception, auditory perception, gap detection, music aptitude"
"Musical Expertise Facilitates Dissonance Detection On Behavioral, Not On Early Sensory Level",2020,Musicae Scientiae,"Linnavalli, Tanja",Finland,Finland,Finland,White,31,25.9; 25.7,5.2; 3.6,10; 10,6; 5,,NA,musicians; non-musicians,NA,NA,artificial,western,experimenter-created,,Nashra,"dissonance, consonance, MMN, musicians, attention"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,72,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,Experiment 1: Effects of Timbre and Rate Diversity on Metrical Restoration,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,120,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,"Experiment 2A&B: Amount of Exposure To, and Similarity Between, Rhythmic Patterns",Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,Experiment 3: Melodies Share Rhythmic Patterns,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,Experiment 4: Changing Cues To Meter After Learning,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,Experiment 5: Changing Rhythmic Patterns After Learning,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
Metrical Restoration From Local and Global Melodic Cues: Rhythmic Patterns and Overall Melodic Form,2020,Musicae Scientiae,"Creel, Sarah C.",US,US,US,NA,48,NA,NA,NA,NA,,university students,NA,NA,NA,artificial,western,experimenter-created,Experiment 6: Melodies Share Rhythmic Patterns But Not Contours,Nashra,"meter, timbre, metrical restoration, melodic contour, exemplar theory"
All Eyes on Me: Behaving as Soloist in Duo Performances Leads to Increased Body Movements and Attracts Observers’ Visual Attention,2020,Musicae Scientiae,"Kussner, Mats B.",Germany,NA,NA,NA,14,27.36,5.9,4,10,,NA,musicians,NA,NA,"Classical, Jazz, BLues, Swing, Hip-hop, Folk",western,pre-composed,Experiment 1,Nashra,"bodily gestures in musical duo performances, motion capture, eye tracking, auditory-motor coupling, audio-visual perception and attention"
All Eyes on Me: Behaving as Soloist in Duo Performances Leads to Increased Body Movements and Attracts Observers’ Visual Attention,2020,Musicae Scientiae,"Kussner, Mats B.",Germany,NA,NA,NA,34,31.26,6.71,18,16,,NA,musicians; non-musicians,NA,NA,"Classical, Jazz, BLues, Swing, Hip-hop, Folk",western,pre-composed,Experiment 2,Nashra,"bodily gestures in musical duo performances, motion capture, eye tracking, auditory-motor coupling, audio-visual perception and attention"
Semantic Dimensions of Sound Mass Music: Mappings between Perceptual and Acoustic Domains,2020,Musicae Scientiae,"Noble, Jason",Canada,Canada,NA,NA,38,24.9,6,24,14,,NA,musicians; non-musicians,NA,NA,western,western,pre-composed,NA,Nashra,"musical semantics, contemporary music, sound mass, spectrotemporal modulations, cross-domain mappings"
The role of positional knowledge and tonal approaches in cellists’ sight-reading,2020,Musicae Scientiae,"Wolfs, Zyxcban G.",Netherlands,Netherlands,Netherlands,NA,79,25.71,19.62,52,20,,students of 3 cello teachers,musicians,NA,NA,artificial,western,experimenter-created,NA,Nashra,"fluency error, musical skills, music instruments, music performance, pitch error, Rasch analysis, sightreading"
“The sound of affect”: Age differences in perceiving valence and arousal in music and their relation to music characteristics and momentary mood,2020,Musicae Scientiae,"Cohrdes, Caroline",Germany,Germany,Germany,NA,50,38.8,20.26,25,25,,NA,non-musicians,NA,NA,"classical, jazz, pop, rock, heavy metal, electronic, hip hop/RnB, folk/country",NA,pre-composed,NA,Nashra,"Affect perception, age differences, music, musical feature analysis, current mood, music and emotion, sounds"
Call and response: Musical and bodily interactions in jazz improvisation duos,2020,Musicae Scientiae,"Wollner, Clemens",Germany,Germany,Germany,NA,12,39.17,17.11,0,12,,jazz musician duos,musicians,NA,NA,jazz,NA,other,NA,Nashra,"emotional expression, ensemble, free jazz, improvisation, motion capture"
"Contemporary art music and its audiences: Age, gender, and social class profile",2020,Musicae Scientiae,"Grebosz-Haring, Katarzyna",Austria,Paris; Warsaw; Vienna,Paris; Warsaw; Vienna; others,NA,1502,46.9,17.6,812.58,689.42,,NA,NA,NA,NA,NA,NA,NA,NA,Nashra,"Bourdieu, new music festivals, cultural capital, music consumption, Schulze"
Music listening as a potential aid in reducing emotional eating: An exploratory study,2020,Musicae Scientiae,"van den Tol, Annemieke J. M.",UK,UK,UK,NA,571,23.41,4.39,375,188,,university students,NA,NA,NA,NA,NA,NA,NA,Nashra,"anxiety, coping, depression, emotional eating, emotion regulation, music use, stress"
Context effects of background babbling on memory for melodies,2020,Musicae Scientiae,"Herff, Steffen A.",Australia,Germany; Australia,NA,NA,40,24.4,6,30,9,,university students,non-musicians,NA,NA,artificial,western,experimenter-created,NA,Nashra,"background noise, interference, memory, music perception, recognition"
The relationship between musical training and musical empathizing and systemizing traits,2020,Musicae Scientiae,"Dahary, Hadas",Canada,Canada,Canada,NA,81,21.33,3.34,52,29,,university students,musicians; non-musicians,NA,NA,NA,NA,NA,NA,Nashra,"empathizing, musical sophistication, musical training, musical traits, systemizing"
Does music help children grow up? Parental views from a longitudinal panel study,2020,Musicae Scientiae,"Kreutz, Gunter ",Germany,Germany,Germany,NA,839,NA,NA,NA; 416,NA; 423,,adults; children,NA,NA,NA,NA,NA,NA,NA,Nashra,"Singing, music, familial dynamics, child personality, panel study"
Audience engagement with community music performances: Emotional contagion in audiences of a ‘pro-am’ orchestra in suburban Sydney,2020,Musicae Scientiae,"Garrido, Sandra",Australia,Australia,Australia,NA,105,58.7,17.5,69,36,,audience,NA,NA,NA,orchestra,western,pre-composed,NA,Nashra,"Live music, concert experience, emotional resonance, social bonding"
Reciprocal auditory attenuation affects looking behaviour and playing level but not ensemble synchrony: A psychoacoustical study of violin duos,2020,Musicae Scientiae,"Fulford, Robert",UK,UK,UK,Na,4,24.5,NA,2,2,,university students,musicians,NA,NA,western,western,experimenter-created,NA,Nashra,"attenuation, auditory, ensemble synchrony, hearing, musical performance, performance behaviours, violinists"
Embodiment in Electronic Dance Music: Effects of musical content and structure on body movement,2020,Musicae Scientiae,"Burger, Birgitta",Finland,Finland,Finland,NA,60,24,3.3,43,17,,NA,NA,voucher,NA,"Techno/EDM, Latin, Funk, and Jazz",NA,pre-composed,NA,Nashra,"dance, Electronic dance music, embodiment, MoCap analysis, motion capture, movement"
"Is participation in music festivals a self-expansion opportunity? Identity, self-perception, and the importance of music’s functions",2020,Musicae Scientiae,"Lawendowski, Rafal",Poland,Poland,Poland,NA,828,28.05,8.64,494,334,,audience,NA,NA,NA,NA,western,pre-composed,NA,Nashra,"audience, functions of music, identity, music festivals, self"
Spectral envelope consistency singing diatonic scales with different dynamics contours,2020,Musicae Scientiae,"Vurma, Allan",Estonia,Estonia,Estonia,NA,10,29.8,NA,0,10,,NA,musicians,NA,NA,western classical,western,NA,survey,Nashra,"classical singing, dynamics, EGG, evenness of the voice, inverse filtering, pitch, singer’s formant, spectral analysis"
Non-musicians recognize unfamiliar contemporary classical music excerpts with increasing repetition,2020,Musicae Scientiae,"Wu, Verena S.",Australia,Australia,Australia,NA,23,22.3,6.1,17,6,,undergraduate students,non-musicians,NA,NA,western classical,western,pre-composed,NA,Nashra,"contemporary music, exposure, liking, memory, titles"
The profile of music as a creative domain in people’s conceptions: Expanding Runco & Bahleda’s 1986 study on implicit theories of creativity in a conceptual replication,2020,Musicae Scientiae,"Lothwesen, Kai Stefan",Germany,NA,NA,NA,106,29.2,11.05,65,41,,NA,musicians; non-musicians,NA,NA,NA,NA,NA,survey,Nashra,"content analysis, correspondence analysis, creativity in music, creativity research, domain specificity, implicit theories, replication"
Exploring the motivations for building new digital musical instruments,2020,Musicae Scientiae,"Emerson, Gina",Germany,Germany,Germany,NA,10,NA,NA,0,10,,NA,musicians,NA,NA,experimental electronic music,western,NA,survey,Nashra,"Digital musical instruments, motivation, expressivity, embodiment"
The Study of Memorisation in Piano Students in Higher Education in Mexico,2020,Musicae Scientiae,"Herrera, Miriam",Mexico,Mexico,Mexico,NA,545,21.76,1.39,241,344,,undergraduate students,musicians,NA,NA,NA,NA,NA,survey,Nashra,"Pianists, memorisation, visual, auditory, kinaesthetic, analytical, personal strategies"
A matter of presence: A qualitative study on teaching individual and collective music classes,2020,Musicae Scientiae,"Schiavio, Andrea",UK,North America; Europe,NA,NA,11,43.3,NA,NA,NA,,music educators,musicians,NA,NA,NA,NA,NA,survey,Nashra,"musical learning, Extended Mind, music teacher, collective music lesson, presence"
Examining musical sophistication: A replication and theoretical commentary on the Goldsmiths Musical Sophistication Index,2020,Musicae Scientiae,"Baker, David John",US,US,US,NA,346,20.17,2.72,217,129,,university students,musicians,paid,NA,artificial,western,experimenter-created,NA,Nashra,"Psychometrics, musical sophistication, replication, modeling musicality, confirmatory factor analysis, latent variable modeling"
Video feedback and the choice of strategies of college-level guitarists during individual practice,2020,Musicae Scientiae,"Boucher, Mathieu",Canada,Canada,Canada,NA,16,19,1.3,3,13,,NA,musicians,NA,NA,western,France,pre-composed,NA,Nashra,"Music performance, music practice, video feedback, practice strategies, self-regulation"
"Study addiction among musicians: Measurement, and relationship with personality, social anxiety, performance, and psychosocial functioning",2020,Musicae Scientiae,"Lawendowski, Rafal",Poland,Poland,Poland,NA,132,22.36,2.98,82,48,,university students,musicians,NA,NA,NA,NA,NA,survey,Nashra,"Academic performance, learning engagement, personality, social anxiety, study addiction, workaholism, work addiction"
Seeing a drummer’s performance modulates the subjective experience of groove while listening to popular music drum patterns,2020,Musicae Scientiae,"Eaves, Daniel Lloyd",UK,UK,UK,NA,36,26.22,8.97,25,11,,university students,musicians; non-musicians,NA,NA,soul; folk; rock,western,semi-composed,NA,Nashra,"Multisensory integration, visuo-motor priming, motor resonance, mirror neurons, music perception, audio-visual processing"
